year,month,temperature,quantile_score,model_type
2018,1,7.59460827464153,,Simulated AutoBNN - Temperature Lags
2018,2,6.370824439919431,,Simulated AutoBNN - Temperature Lags
2018,3,7.852293148922911,,Simulated AutoBNN - Temperature Lags
2018,4,12.960991493030122,2.3984018617306604,Simulated AutoBNN - Temperature Lags
2018,5,16.308109935850325,6.989442440844691,Simulated AutoBNN - Temperature Lags
2018,6,22.03474855826954,4.060665063773194,Simulated AutoBNN - Temperature Lags
2018,7,26.48462096705111,8.94914379229897,Simulated AutoBNN - Temperature Lags
2018,8,24.23737309990707,8.643140070901465,Simulated AutoBNN - Temperature Lags
2018,9,21.128174709620964,3.8279478682714885,Simulated AutoBNN - Temperature Lags
2018,10,15.343248835219242,7.283568174638946,Simulated AutoBNN - Temperature Lags
2018,11,10.212743365371068,5.461700640368107,Simulated AutoBNN - Temperature Lags
2018,12,5.573444510492038,1.8782306772891524,Simulated AutoBNN - Temperature Lags
2019,1,6.216901371755398,,Simulated AutoBNN - Temperature Lags
2019,2,3.745315251804129,,Simulated AutoBNN - Temperature Lags
2019,3,8.075260163840198,,Simulated AutoBNN - Temperature Lags
2019,4,13.659414194553676,2.8652790803796875,Simulated AutoBNN - Temperature Lags
2019,5,13.60272124199497,8.142511147184551,Simulated AutoBNN - Temperature Lags
2019,6,21.85292493324675,4.920462397620992,Simulated AutoBNN - Temperature Lags
2019,7,24.19742056762811,10.239647777607455,Simulated AutoBNN - Temperature Lags
2019,8,24.5528666594451,8.214598839536967,Simulated AutoBNN - Temperature Lags
2019,9,20.239956310949253,4.474989693159664,Simulated AutoBNN - Temperature Lags
2019,10,14.238014479669516,8.610616968052216,Simulated AutoBNN - Temperature Lags
2019,11,9.871128607109938,4.367149076385657,Simulated AutoBNN - Temperature Lags
2019,12,5.888724974040201,1.5984858610401824,Simulated AutoBNN - Temperature Lags
2020,1,5.266614250002021,,Simulated AutoBNN - Temperature Lags
2020,2,7.808925919079002,,Simulated AutoBNN - Temperature Lags
2020,3,7.500818205628548,,Simulated AutoBNN - Temperature Lags
2020,4,12.17741326887858,4.1103627466345625,Simulated AutoBNN - Temperature Lags
2020,5,17.415011420914425,6.029845713213861,Simulated AutoBNN - Temperature Lags
2020,6,21.16845713171557,3.719048540053514,Simulated AutoBNN - Temperature Lags
2020,7,24.566420929122728,10.97149117587218,Simulated AutoBNN - Temperature Lags
2020,8,25.43869970442347,8.47791442576531,Simulated AutoBNN - Temperature Lags
2020,9,22.27471103855169,3.5129722031885633,Simulated AutoBNN - Temperature Lags
2020,10,17.731913082054916,6.57433975252194,Simulated AutoBNN - Temperature Lags
2020,11,8.412413416916593,5.796705504076491,Simulated AutoBNN - Temperature Lags
2020,12,5.644937291935605,1.529351930221129,Simulated AutoBNN - Temperature Lags
2021,1,5.739666341739621,,Simulated AutoBNN - Temperature Lags
2021,2,7.0150901792681,,Simulated AutoBNN - Temperature Lags
2021,3,7.365177722170358,,Simulated AutoBNN - Temperature Lags
