county,year,month,temperature,simulated_temperature,mu,sigma,simulation_number,hist_temp_avg
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,24.32592522799109,8.237858,3.4522183,1.0,11.148379905834364
Fresno,2018,5,16.308109935850325,28.390346927836223,15.875668,2.1135666,1.0,15.634527908564628
Fresno,2018,6,22.03474855826954,31.15773934522303,12.811485,5.0805326,1.0,20.230983178453634
Fresno,2018,7,26.48462096705111,50.725778175883505,22.14976,2.5782847,1.0,23.6462897093963
Fresno,2018,8,24.23737309990707,41.70268743478038,20.051092,4.6971827,1.0,22.925582188670894
Fresno,2018,9,21.128174709620964,30.75747786447625,12.410023,6.343648,1.0,19.992390875716506
Fresno,2018,10,15.343248835219242,26.88951950277233,18.099157,4.394408,1.0,14.656789883888178
Fresno,2018,11,10.212743365371068,25.917964631780713,14.097305,3.3047009,1.0,8.688868188708247
Fresno,2018,12,5.573444510492038,15.218119569153195,5.605468,1.9801707,1.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,23.547891656861918,8.237858,3.4522183,2.0,11.148379905834364
Fresno,2018,5,16.308109935850325,32.99564954390634,15.875668,2.1135666,2.0,15.634527908564628
Fresno,2018,6,22.03474855826954,29.553548167854075,12.811485,5.0805326,2.0,20.230983178453634
Fresno,2018,7,26.48462096705111,44.21983730887828,22.14976,2.5782847,2.0,23.6462897093963
Fresno,2018,8,24.23737309990707,45.548807216863395,20.051092,4.6971827,2.0,22.925582188670894
Fresno,2018,9,21.128174709620964,40.92519365400479,12.410023,6.343648,2.0,19.992390875716506
Fresno,2018,10,15.343248835219242,25.30045080004811,18.099157,4.394408,2.0,14.656789883888178
Fresno,2018,11,10.212743365371068,19.87328415056527,14.097305,3.3047009,2.0,8.688868188708247
Fresno,2018,12,5.573444510492038,14.173931310853813,5.605468,1.9801707,2.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,20.084546413777193,8.237858,3.4522183,3.0,11.148379905834364
Fresno,2018,5,16.308109935850325,31.82801427678033,15.875668,2.1135666,3.0,15.634527908564628
Fresno,2018,6,22.03474855826954,30.37481560750944,12.811485,5.0805326,3.0,20.230983178453634
Fresno,2018,7,26.48462096705111,47.177749602398166,22.14976,2.5782847,3.0,23.6462897093963
