county,year,month,temperature,simulated_temperature,mu,sigma,simulation_number,hist_temp_avg
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,23.39739822722209,8.237858,3.4522183,1.0,11.148379905834364
Fresno,2018,5,16.308109935850325,32.76594626405054,15.875668,2.1135666,1.0,15.634527908564628
Fresno,2018,6,22.03474855826954,33.90173182828224,12.811485,5.0805326,1.0,20.230983178453634
Fresno,2018,7,26.48462096705111,45.566168114759535,22.14976,2.5782847,1.0,23.6462897093963
Fresno,2018,8,24.23737309990707,39.82777879246049,20.051092,4.6971827,1.0,22.925582188670894
Fresno,2018,9,21.128174709620964,40.86075244836347,12.410023,6.343648,1.0,19.992390875716506
Fresno,2018,10,15.343248835219242,36.51726135112632,18.099157,4.394408,1.0,14.656789883888178
Fresno,2018,11,10.212743365371068,27.38302107264954,14.097305,3.3047009,1.0,8.688868188708247
Fresno,2018,12,5.573444510492038,12.44112676432831,5.605468,1.9801707,1.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,20.069086482226005,8.237858,3.4522183,2.0,11.148379905834364
Fresno,2018,5,16.308109935850325,33.197268220648624,15.875668,2.1135666,2.0,15.634527908564628
Fresno,2018,6,22.03474855826954,32.64663178033809,12.811485,5.0805326,2.0,20.230983178453634
Fresno,2018,7,26.48462096705111,46.75814849128925,22.14976,2.5782847,2.0,23.6462897093963
Fresno,2018,8,24.23737309990707,41.6955447392814,20.051092,4.6971827,2.0,22.925582188670894
Fresno,2018,9,21.128174709620964,38.28809367228286,12.410023,6.343648,2.0,19.992390875716506
Fresno,2018,10,15.343248835219242,29.358152008551357,18.099157,4.394408,2.0,14.656789883888178
Fresno,2018,11,10.212743365371068,25.67950663854525,14.097305,3.3047009,2.0,8.688868188708247
Fresno,2018,12,5.573444510492038,9.216297371366979,5.605468,1.9801707,2.0,4.890050153511372
Fresno,2018,1,7.59460827464153,,,,,
Fresno,2018,2,6.370824439919431,,,,,
Fresno,2018,3,7.852293148922911,,,,,
Fresno,2018,4,12.960991493030122,17.311648824116478,8.237858,3.4522183,3.0,11.148379905834364
Fresno,2018,5,16.308109935850325,32.488236360047935,15.875668,2.1135666,3.0,15.634527908564628
Fresno,2018,6,22.03474855826954,39.81511411455955,12.811485,5.0805326,3.0,20.230983178453634
Fresno,2018,7,26.48462096705111,47.991820674734086,22.14976,2.5782847,3.0,23.6462897093963
