,year,month,temperature,quantile_score,county
0,2018,1,5.820101785805036,0.0,Placer
1,2018,2,4.215296604129435,0.0,Placer
2,2018,3,5.442743607432817,0.0,Placer
3,2018,4,9.676850513444435,0.055983091869796775,Placer
4,2018,5,14.02691713553304,0.04987678734535143,Placer
5,2018,6,19.551780160618137,0.07067917636352236,Placer
6,2018,7,24.104445742133123,0.09266283826194137,Placer
7,2018,8,21.475395743251056,0.07175760728033032,Placer
8,2018,9,18.56238961568033,0.06230632378256649,Placer
9,2018,10,13.23437054893094,0.057638842445499695,Placer
10,2018,11,8.212310229224443,0.055173504420317786,Placer
11,2018,12,4.384924627896908,0.06326981566870708,Placer
12,2019,1,5.122475119242949,0.0,Placer
13,2019,2,2.049524980560875,0.0,Placer
14,2019,3,6.1342757244803465,0.0,Placer
15,2019,4,11.190399354019064,0.05231065832184101,Placer
16,2019,5,11.755752279942271,0.050432794050618304,Placer
17,2019,6,19.484852845939884,0.06253698096178757,Placer
18,2019,7,22.001110896924843,0.07597323098144303,Placer
19,2019,8,22.55034975716564,0.07733216372426677,Placer
20,2019,9,17.472729289757638,0.06893301286482519,Placer
21,2019,10,11.455611800714337,0.052140946761785045,Placer
22,2019,11,8.370371759209092,0.060368033994066886,Placer
23,2019,12,4.844989119158527,0.0679921067309271,Placer
24,2020,1,4.497061219270961,0.0,Placer
25,2020,2,6.271570326406447,0.0,Placer
26,2020,3,5.371398778350908,0.0,Placer
27,2020,4,10.03078127455734,0.058112757108061006,Placer
28,2020,5,14.581576865514364,0.05346587912500581,Placer
29,2020,6,18.761581455817577,0.06753974470457863,Placer
30,2020,7,22.279175076504146,0.07598688878772006,Placer
31,2020,8,23.377993416813126,0.08349011432594593,Placer
32,2020,9,20.754718746086155,0.07322522194903296,Placer
33,2020,10,16.108544388151813,0.08402933376010302,Placer
34,2020,11,6.376245296516345,0.054841283375538674,Placer
35,2020,12,4.031769961074303,0.08586670694161827,Placer
36,2021,1,4.140012746815046,0.0,Placer
37,2021,2,5.074601401668758,0.0,Placer
38,2021,3,5.095051671521787,0.0,Placer
39,2021,4,10.288559916226404,0.05179339414755035,Placer
40,2021,5,14.992363179321387,0.059498383499805414,Placer
41,2021,6,21.018503326987,0.14417151068796216,Placer
42,2021,7,24.14672236387532,0.09681266263444399,Placer
43,2021,8,22.25034253282729,0.08055280717128772,Placer
44,2021,9,19.292067822431363,0.06909665700841627,Placer
45,2021,10,11.27512191338286,0.0514225372775329,Placer
46,2021,11,8.990140175191925,0.055659131694062385,Placer
47,2021,12,3.677161738106065,0.06621429241654722,Placer
48,2022,1,4.632837605484156,0.0,Placer
49,2022,2,4.9031513591882,0.0,Placer
50,2022,3,8.35833703166486,0.0,Placer
51,2022,4,9.484580553687351,0.07389064904597344,Placer
52,2022,5,13.850460834030116,0.053679734448474535,Placer
53,2022,6,19.50996039759201,0.06756992584381587,Placer
54,2022,7,23.103441736199784,0.08210317804502573,Placer
55,2022,8,23.63802439969129,0.08744554852054337,Placer
56,2022,9,20.71146645615596,0.06764539629241394,Placer
57,2022,10,15.113455933732496,0.059883977131557256,Placer
58,2022,11,4.180247388489818,0.09648389728641334,Placer
59,2022,12,3.089858581572116,0.0863831932459596,Placer
60,2023,1,3.6812515473538383,0.0,Placer
61,2023,2,3.07072063349392,0.0,Placer
62,2023,3,3.825501515753615,0.0,Placer
63,2023,4,9.36199953927553,0.052837391498818505,Placer
64,2023,5,13.309735281478936,0.0504051776146962,Placer
65,2023,6,16.89836677248843,0.0676208079081198,Placer
66,2023,7,23.91682606359672,0.08443667659660108,Placer
67,2023,8,22.36922721122835,0.07689862197918848,Placer
68,2023,9,17.474591884537688,0.05922170183330703,Placer
69,2023,10,13.714647973698844,0.05082606835070073,Placer
70,2023,11,7.808059280725331,0.05163123994742826,Placer
71,2023,12,5.794317800754811,0.06478121194684593,Placer
72,2024,1,,,Placer
73,2024,2,,,Placer
74,2024,3,,,Placer
75,2024,4,,,Placer
76,2024,5,,,Placer
77,2024,6,,,Placer
78,2024,7,,,Placer
79,2024,8,,,Placer
80,2024,9,,,Placer
81,2024,10,,,Placer
82,2024,11,,,Placer
83,2024,12,,,Placer
