,year,month,temperature,quantile_score,county
0,2018,1,7.59460827464153,0.0,Fresno
1,2018,2,6.370824439919431,0.0,Fresno
2,2018,3,7.852293148922911,0.0,Fresno
3,2018,4,12.960991493030122,0.14139769951630166,Fresno
4,2018,5,16.308109935850325,0.11544798120219299,Fresno
5,2018,6,22.03474855826954,0.09515979874831627,Fresno
6,2018,7,26.484620967051114,0.2899180793451902,Fresno
7,2018,8,24.237373099907074,0.09865563215178463,Fresno
8,2018,9,21.128174709620964,0.08543178467376608,Fresno
9,2018,10,15.343248835219242,0.14413955996191635,Fresno
10,2018,11,10.212743365371068,0.28998151166632313,Fresno
11,2018,12,5.573444510492038,0.13278672411213802,Fresno
12,2019,1,6.216901371755398,0.0,Fresno
13,2019,2,3.745315251804129,0.0,Fresno
14,2019,3,8.075260163840198,0.0,Fresno
15,2019,4,13.659414194553676,0.3240862010638626,Fresno
16,2019,5,13.60272124199497,0.3185382441847128,Fresno
17,2019,6,21.852924933246754,0.13291907444233317,Fresno
18,2019,7,24.197420567628114,0.29678271151080504,Fresno
19,2019,8,24.5528666594451,0.09122207220393952,Fresno
20,2019,9,20.239956310949253,0.18581529800782665,Fresno
21,2019,10,14.238014479669516,0.23913865100855017,Fresno
22,2019,11,9.871128607109938,0.28335942808638537,Fresno
23,2019,12,5.888724974040201,0.20071049629358345,Fresno
24,2020,1,5.266614250002021,0.0,Fresno
25,2020,2,7.808925919079002,0.0,Fresno
26,2020,3,7.500818205628548,0.0,Fresno
27,2020,4,12.17741326887858,0.13219516886133967,Fresno
28,2020,5,17.415011420914425,0.1663829944813755,Fresno
29,2020,6,21.16845713171557,0.10218097017722132,Fresno
30,2020,7,24.566420929122728,0.1334136014290076,Fresno
31,2020,8,25.43869970442347,0.27464974153804766,Fresno
32,2020,9,22.27471103855169,0.21812028163107847,Fresno
33,2020,10,17.731913082054916,0.389452373290186,Fresno
34,2020,11,8.412413416916593,0.16716784230926632,Fresno
35,2020,12,5.644937291935605,0.14083673766405413,Fresno
36,2021,1,5.739666341739621,0.0,Fresno
37,2021,2,7.0150901792681,0.0,Fresno
38,2021,3,7.365177722170358,0.0,Fresno
39,2021,4,12.875383627824933,0.13577592923177653,Fresno
40,2021,5,17.087489589181814,0.1263833795942037,Fresno
41,2021,6,23.38113408560816,0.4415898636855195,Fresno
42,2021,7,26.44389333685632,0.26796350622710374,Fresno
43,2021,8,24.83330259999127,0.11013824559709126,Fresno
44,2021,9,21.91770857753494,0.1495598794931937,Fresno
45,2021,10,13.654789067661229,0.49451855430740127,Fresno
46,2021,11,10.638183376599216,0.11780909779629764,Fresno
47,2021,12,5.344015030956086,0.1281381473604651,Fresno
48,2022,1,5.83772758569728,0.0,Fresno
49,2022,2,6.80540405309921,0.0,Fresno
50,2022,3,10.205065886979924,0.0,Fresno
51,2022,4,12.438805150016831,0.08581426626889521,Fresno
52,2022,5,16.7146020957573,0.11006382398173188,Fresno
53,2022,6,22.351733685383977,0.1621844132647049,Fresno
54,2022,7,25.60398634534846,0.1087248763595925,Fresno
55,2022,8,25.567076527817903,0.2787428061082327,Fresno
56,2022,9,22.858099785221725,0.43038353288509895,Fresno
57,2022,10,16.89139758322557,0.20178379669427363,Fresno
58,2022,11,6.096910653150701,0.7416042224146956,Fresno
59,2022,12,4.566309810404448,0.06796693880641867,Fresno
60,2023,1,4.845747882872217,0.0,Fresno
61,2023,2,4.241971456664828,0.0,Fresno
62,2023,3,6.04773968143968,0.0,Fresno
63,2023,4,11.726772934920518,0.15635200533705182,Fresno
64,2023,5,15.847716475432437,0.10275007762301365,Fresno
65,2023,6,18.7673322009137,0.36964889400374124,Fresno
66,2023,7,26.13362508312997,0.21824170119700306,Fresno
67,2023,8,24.014566145561616,0.08433758103143572,Fresno
68,2023,9,20.00183147869581,0.27339068274978406,Fresno
69,2023,10,15.887224961901666,0.09755315406166418,Fresno
70,2023,11,9.571565878336571,0.10759424510520979,Fresno
71,2023,12,7.235348810925132,0.327108578143106,Fresno
72,2024,1,,,Fresno
73,2024,2,,,Fresno
74,2024,3,,,Fresno
75,2024,4,,,Fresno
76,2024,5,,,Fresno
77,2024,6,,,Fresno
78,2024,7,,,Fresno
79,2024,8,,,Fresno
80,2024,9,,,Fresno
81,2024,10,,,Fresno
82,2024,11,,,Fresno
83,2024,12,,,Fresno
