,feature,importance,county
0,soil_temperature_layer_1,0.9253314,Los Angeles
1,hist_temp_avg,0.020792361,Los Angeles
2,vapor_pressure_diff,0.012201213,Los Angeles
3,temp_anom,0.005161735,Los Angeles
4,surface_runoff,0.004903201,Los Angeles
5,dewpoint_temperature,0.0034764747,Los Angeles
6,surface_pressure,0.0032226301,Los Angeles
7,wind_speed,0.0031118721,Los Angeles
8,potential_evaporation,0.002727828,Los Angeles
9,leaf_area_index_hi_veg,0.002583922,Los Angeles
10,month,0.0023926487,Los Angeles
11,skin_reservoir_content,0.0022653018,Los Angeles
12,runoff,0.0022188888,Los Angeles
13,temp_anom_L12,0.0021638535,Los Angeles
14,Unnamed: 0,0.0016712812,Los Angeles
15,relative_humidity,0.0016157976,Los Angeles
16,leaf_area_index_lo_veg,0.0014990828,Los Angeles
17,precipitation,0.0013951882,Los Angeles
18,volumetric_soil_water_layer_1,0.0012652454,Los Angeles
19,low_veg_cover,0.0,Los Angeles
20,longitude,0.0,Los Angeles
21,latitude,0.0,Los Angeles
22,hi_veg_cover,0.0,Los Angeles
