,feature,importance,county
0,vapor_pressure_diff,0.7168109,San Bernardino
1,soil_temperature_layer_1,0.13817114,San Bernardino
2,hist_temp_avg,0.12974823,San Bernardino
3,leaf_area_index_lo_veg,0.005738663,San Bernardino
4,dewpoint_temperature,0.0017689014,San Bernardino
5,wind_speed,0.0016812463,San Bernardino
6,month,0.0011693278,San Bernardino
7,temp_anom,0.00092686684,San Bernardino
8,surface_pressure,0.0007922237,San Bernardino
9,volumetric_soil_water_layer_1,0.00061442633,San Bernardino
10,leaf_area_index_hi_veg,0.000521225,San Bernardino
11,potential_evaporation,0.00047721853,San Bernardino
12,runoff,0.00033012798,San Bernardino
13,precipitation,0.00024917893,San Bernardino
14,temp_anom_L12,0.00020700945,San Bernardino
15,surface_runoff,0.00020672772,San Bernardino
16,skin_reservoir_content,0.00020133863,San Bernardino
17,Unnamed: 0,0.00019725099,San Bernardino
18,relative_humidity,0.00018809404,San Bernardino
19,low_veg_cover,0.0,San Bernardino
20,longitude,0.0,San Bernardino
21,latitude,0.0,San Bernardino
22,hi_veg_cover,0.0,San Bernardino
