,county,year,month,temperature,mu,sigma,temp_anom_L12,quantile_score
0,Fresno,2018,1,7.59460827464153,7.6752963,0.40517202,-0.48157034720377023,0.051024257990504834
1,Fresno,2018,2,6.370824439919431,6.5792894,0.40455574,1.0854190615975616,0.06890848977964577
2,Fresno,2018,3,7.852293148922911,7.810252,0.3470008,1.059589141423288,0.041962267222399374
3,Fresno,2018,4,12.960991493030122,12.9398985,0.31814805,0.7519660333452585,0.037818384379906186
4,Fresno,2018,5,16.308109935850325,16.38919,0.31814805,1.2369713029828393,0.04167056650960314
5,Fresno,2018,6,22.03474855826954,21.978556,0.44209912,2.6065820910590034,0.05358836144923123
6,Fresno,2018,7,26.484620967051114,26.102161,0.52264434,2.694209838875402,0.11566333137562042
7,Fresno,2018,8,24.237373099907074,24.277796,0.48559102,2.199199064674893,0.05796929799604062
8,Fresno,2018,9,21.128174709620964,21.147097,0.39157447,0.3016105446911794,0.046376096882961376
9,Fresno,2018,10,15.343248835219242,15.424659,0.31814805,0.7562153328542127,0.04170548188729762
10,Fresno,2018,11,10.212743365371068,10.189698,0.32025278,2.4670902114915076,0.0381143471720351
11,Fresno,2018,12,5.573444510492038,5.8920245,0.4115405,1.3347146130598597,0.09589414183907667
12,Fresno,2019,1,6.216901371755398,6.087346,0.4115405,2.51938289092523,0.05670611830091551
13,Fresno,2019,2,3.745315251804129,3.9730244,0.4254821,0.07833771014843105,0.07418576787852697
14,Fresno,2019,3,8.075260163840198,8.285723,0.3470008,-0.9155217943774403,0.06589727252325979
15,Fresno,2019,4,13.659414194553676,13.536671,0.31814805,1.8304504588411046,0.046952519219583794
16,Fresno,2019,5,13.60272124199497,13.736322,0.31814805,0.7660082756249711,0.04867646281440172
17,Fresno,2019,6,21.852924933246754,21.810759,0.4322622,2.00563507672495,0.05182155562865562
18,Fresno,2019,7,24.197420567628114,24.233498,0.48559102,2.985469827718539,0.0578204452527203
19,Fresno,2019,8,24.5528666594451,24.726328,0.5036624,1.4778121628747485,0.07134541453279886
20,Fresno,2019,9,20.239956310949253,20.45021,0.37346122,1.1878639217915037,0.06730235257711603
21,Fresno,2019,10,14.238014479669516,14.160687,0.31814805,0.6996215295468637,0.04130552561522027
22,Fresno,2019,11,9.871128607109938,9.998245,0.32025278,1.681802604631299,0.04782068339324282
23,Fresno,2019,12,5.888724974040201,6.042052,0.4115405,0.8660046256499507,0.05993547455150299
24,Fresno,2020,1,5.266614250002021,5.335633,0.42409796,1.1416759880390979,0.05229646037778359
25,Fresno,2020,2,7.808925919079002,7.9992156,0.38573012,-2.5471714779668715,0.06404250634923259
26,Fresno,2020,3,7.500818205628548,7.739916,0.3470008,-0.6925547794601528,0.0728835918471846
27,Fresno,2020,4,12.17741326887858,12.162521,0.31814805,2.5288731603646593,0.03767254214925821
28,Fresno,2020,5,17.415011420914425,17.297758,0.31814805,-1.9393804182303835,0.04614683912875783
29,Fresno,2020,6,21.16845713171557,21.253157,0.39878097,1.8238114517021629,0.05066204547607412
30,Fresno,2020,7,24.566420929122728,24.543531,0.5036624,0.6982694282955393,0.05962927258768234
31,Fresno,2020,8,25.43869970442347,25.5291,0.52264434,1.793305722412775,0.06479933722788381
32,Fresno,2020,9,22.27471103855169,22.145031,0.44209912,0.29964552311979276,0.0597721601649659
33,Fresno,2020,10,17.731913082054916,17.552767,0.31814805,-0.4056128260028622,0.05734132998834909
34,Fresno,2020,11,8.412413416916593,8.278875,0.3470008,1.3401878463701689,0.05115956634036139
35,Fresno,2020,12,5.644937291935605,5.6791906,0.40903765,1.1812850891981137,0.04883763103697171
36,Fresno,2021,1,5.739666341739621,5.7139196,0.40903765,0.19138886628572127,0.048587815478916496
37,Fresno,2021,2,7.0150901792681,6.9615493,0.3993167,1.5164391893080014,0.04855732620384529
38,Fresno,2021,3,7.365177722170358,7.4259863,0.3470008,-1.2669967376718034,0.043074189903590805
39,Fresno,2021,4,12.875383627824933,12.893942,0.31814805,1.0468722346895625,0.037754375524430644
40,Fresno,2021,5,17.087489589181814,17.057163,0.31814805,1.8729097606890708,0.038115988040327814
41,Fresno,2021,6,23.38113408560816,23.38951,0.45382488,1.1393436501709786,0.05357366307611348
42,Fresno,2021,7,26.44389333685632,26.102161,0.52264434,1.0672697897901529,0.10514734379542123
43,Fresno,2021,8,24.83330259999127,24.7856,0.5036624,2.6791387673911444,0.060330802291804445
44,Fresno,2021,9,21.91770857753494,21.939486,0.4346141,2.3344002507222292,0.05148523778455614
45,Fresno,2021,10,13.654789067661229,13.528564,0.31814805,3.0882857763825378,0.04749754067770085
46,Fresno,2021,11,10.638183376599216,10.509432,0.32025278,-0.11852734382317642,0.048076653440336646
47,Fresno,2021,12,5.344015030956086,5.2600694,0.4156304,0.9374974070935176,0.05243064248237761
48,Fresno,2022,1,5.83772758569728,5.8727117,0.40903765,0.664440958023321,0.04886346489174288
49,Fresno,2022,2,6.80540405309921,6.902831,0.3993167,0.7226034494970994,0.05187940876788581
50,Fresno,2022,3,10.205065886979924,10.226257,0.32025278,-1.402637221129993,0.03806753634292083
51,Fresno,2022,4,12.438805150016831,12.403734,0.31814805,1.7448425936359158,0.03831522262195981
52,Fresno,2022,5,16.7146020957573,16.6559,0.31814805,1.54538792895646,0.0397125059281176
53,Fresno,2022,6,22.351733685383977,22.392704,0.44209912,3.3520206040635685,0.05292464158298907
54,Fresno,2022,7,25.60398634534846,25.506273,0.52264434,2.9447421975237447,0.06533532177087238
55,Fresno,2022,8,25.567076527817903,25.572758,0.52264434,2.0737416629589447,0.06167772559600418
56,Fresno,2022,9,22.858099785221725,22.68962,0.44209912,1.9773977897054777,0.06493792324323223
57,Fresno,2022,10,16.89139758322557,16.911373,0.31814805,-0.9888382380111498,0.03779016602328512
58,Fresno,2022,11,6.096910653150701,5.99924,0.40455574,2.1072426158594464,0.052460793494041036
59,Fresno,2022,12,4.566309810404448,4.6809506,0.42409796,0.6365751461139988,0.056243331731374926
60,Fresno,2023,1,4.845747882872217,5.114538,0.41830063,0.76250220198098,0.08299120787731731
61,Fresno,2023,2,4.241971456664828,4.4192595,0.4193334,0.5129173233282094,0.06435705633933987
62,Fresno,2023,3,6.04773968143968,6.321198,0.40455574,1.4372509436795724,0.08360796947285525
63,Fresno,2023,4,11.726772934920518,11.661385,0.31814805,1.3082641158278143,0.04023064855517278
64,Fresno,2023,5,15.847716475432437,15.877955,0.31814805,1.172500435531946,0.03811289851671053
65,Fresno,2023,6,18.7673322009137,18.812574,0.36752155,2.322620203839385,0.04447631056239768
66,Fresno,2023,7,26.13362508312997,25.994884,0.52264434,2.104835206015885,0.06904314138218376
67,Fresno,2023,8,24.014566145561616,23.839506,0.46492437,2.8075155907855773,0.06798022269449215
68,Fresno,2023,9,20.00183147869581,20.09724,0.37039697,2.9177889973922646,0.04862143826221289
69,Fresno,2023,10,15.887224961901666,15.835158,0.31814805,2.2477702775531903,0.03925061932755276
70,Fresno,2023,11,9.571565878336571,9.591782,0.33292732,-2.4340301075890682,0.03952830505716631
71,Fresno,2023,12,7.235348810925132,7.1098905,0.40862498,-0.14113007443763959,0.055902983664089315
72,Fresno,2024,1,5.810684704896346,5.7344375,0.4119561,-0.2294775008440828,0.0
73,Fresno,2024,2,6.356957822805839,7.0720844,0.40455574,-2.050515273106172,0.0
74,Fresno,2024,3,7.914551009200181,8.204918,0.3470008,-2.7200752618606714,0.0
75,Fresno,2024,4,11.20992424837806,11.555456,0.31814805,0.5962319007315013,0.0
76,Fresno,2024,5,16.27010675658414,16.056738,0.31814805,0.30561481520708256,0.0
77,Fresno,2024,6,22.79547858534601,22.658407,0.44209912,-1.261781280630892,0.0
78,Fresno,2024,7,26.502135148570066,25.664164,0.52264434,2.6344739437973956,0.0
79,Fresno,2024,8,,25.708494,0.52264434,1.2550052085292904,0.0
80,Fresno,2024,9,,25.708494,0.52264434,0.061520690866348815,0.0
81,Fresno,2024,10,,25.708494,0.52264434,1.2435976562292872,0.0
82,Fresno,2024,11,,25.708494,0.52264434,1.040625117596802,0.0
83,Fresno,2024,12,,25.698483,0.52264434,2.527908926083044,0.0
