,county,year,month,temperature,mu,sigma,temp_anom_L12,quantile_score
0,Los Angeles,2018,1,12.85524067784661,12.921939,0.17001826,-0.8967457680072393,0.025264283063450948
1,Los Angeles,2018,2,11.473441322458314,11.630388,0.17917651,0.6570366643882259,0.04719024240956445
2,Los Angeles,2018,3,12.038079485174478,11.999525,0.18074258,2.145852388697012,0.022976150205672168
3,Los Angeles,2018,4,16.074378640301347,16.102705,0.1491195,2.1866196558416835,0.01867517380528846
4,Los Angeles,2018,5,16.939935042902732,17.204723,0.19048747,0.6546911294333881,0.0866552458537153
5,Los Angeles,2018,6,21.52836452066049,21.8209,0.19890347,2.2403005120129897,0.09734309779756195
6,Los Angeles,2018,7,26.39264507109442,25.859219,0.33281195,2.017019973650651,0.18233193004077577
7,Los Angeles,2018,8,25.289386385804733,25.296867,0.2381276,0.906230379767841,0.028141627495544306
8,Los Angeles,2018,9,22.75279868945705,22.664341,0.1952194,-0.19190439411727667,0.030974238492561146
9,Los Angeles,2018,10,18.420852267440125,18.475124,0.14416125,1.9905980679078645,0.02107754078733836
10,Los Angeles,2018,11,14.925106383715274,14.92039,0.14467695,2.5463807395399733,0.01710033696968005
11,Los Angeles,2018,12,10.725101124525224,10.728078,0.18639402,3.0747411448352135,0.02200132615672754
12,Los Angeles,2019,1,10.637831517062011,10.628423,0.18695548,2.90677600988084,0.022148062018420022
13,Los Angeles,2019,2,7.828815849235866,8.010898,0.25695708,0.9776704721938483,0.055271981940981055
14,Los Angeles,2019,3,12.10814545155597,12.101581,0.178093,-0.3931991735397933,0.021061507176982384
15,Los Angeles,2019,4,16.075604993683157,15.990283,0.1491195,1.8101246687357833,0.027170595239041147
16,Los Angeles,2019,5,15.024861952171136,15.130288,0.18806294,-0.46443949035665,0.033793324508382835
17,Los Angeles,2019,6,20.98272034645936,21.044996,0.16823399,0.9872767686828716,0.024442094126765398
18,Los Angeles,2019,7,23.90496920109041,23.933104,0.20931785,3.0033894936718326,0.025457087874953658
19,Los Angeles,2019,8,24.49423674436059,24.447187,0.22560228,1.492692976479681,0.028586527492905682
20,Los Angeles,2019,9,22.43378424585404,22.463999,0.18609671,0.7078577580319312,0.022943323855385642
21,Los Angeles,2019,10,18.08064655057035,18.092216,0.15853676,0.59155163342718,0.018872071661191356
22,Los Angeles,2019,11,14.163193695268262,14.2440195,0.14484426,1.8370763431947719,0.025946416433839152
23,Los Angeles,2019,12,9.523843284737096,9.616258,0.19579996,1.2898966339645135,0.0317277367932844
24,Los Angeles,2020,1,10.697594305891698,10.587186,0.18733585,0.6893668490962419,0.034845537565246665
