,year,month,temperature,quantile_score,county
0,2018,1,10.30290616407524,0.0,Sacramento
1,2018,2,10.409468248833718,0.0,Sacramento
2,2018,3,12.46603073451763,0.0,Sacramento
3,2018,4,15.888167098300189,0.033637490031495,Sacramento
4,2018,5,19.11184548043957,0.03385856186420492,Sacramento
5,2018,6,23.345693454995512,0.04332728920046431,Sacramento
6,2018,7,25.124316443333896,0.05385219804141055,Sacramento
7,2018,8,22.621051964806043,0.04359935669649984,Sacramento
8,2018,9,21.29278216850804,0.03961652720579643,Sacramento
9,2018,10,18.556497070734736,0.03707379258291069,Sacramento
10,2018,11,12.778712207692934,0.04341480801550806,Sacramento
11,2018,12,9.765696712502688,0.04600772329180296,Sacramento
12,2019,1,10.627133297066734,0.0,Sacramento
13,2019,2,9.341170567719246,0.0,Sacramento
14,2019,3,12.723852203040508,0.0,Sacramento
15,2019,4,17.407981582345656,0.033075080794460886,Sacramento
16,2019,5,17.402331112098864,0.033705212650827446,Sacramento
17,2019,6,24.205613850444024,0.048717406425019295,Sacramento
18,2019,7,24.579973276809312,0.048716684589991927,Sacramento
19,2019,8,25.334666297717263,0.056303066838067274,Sacramento
20,2019,9,22.71816831497722,0.041877306429823326,Sacramento
21,2019,10,17.561781290991007,0.03864509186684923,Sacramento
22,2019,11,12.589267840873276,0.03683328949366941,Sacramento
23,2019,12,10.671004858633296,0.04298269120401367,Sacramento
24,2020,1,9.648954533418872,0.0,Sacramento
25,2020,2,12.051188811307044,0.0,Sacramento
26,2020,3,12.5615879308358,0.0,Sacramento
27,2020,4,16.94844183669761,0.03318986156707467,Sacramento
28,2020,5,21.17333589813597,0.037220073971136476,Sacramento
29,2020,6,24.202604853150888,0.04935580263631489,Sacramento
30,2020,7,24.27199881962406,0.04887727404145909,Sacramento
31,2020,8,26.283386633178395,0.1156343427439318,Sacramento
32,2020,9,23.991400493992444,0.045637775711038844,Sacramento
33,2020,10,20.192163930143977,0.046613144845889805,Sacramento
34,2020,11,11.60443374019752,0.043616670315077724,Sacramento
35,2020,12,8.899371476667397,0.05065950619041686,Sacramento
36,2021,1,9.780501411758564,0.0,Sacramento
37,2021,2,11.530950285462607,0.0,Sacramento
38,2021,3,12.330077216456004,0.0,Sacramento
39,2021,4,16.666206350144535,0.03363274293227566,Sacramento
40,2021,5,20.74188759474731,0.03810782357888435,Sacramento
41,2021,6,23.60488843626172,0.04528550108628565,Sacramento
42,2021,7,24.48564170781782,0.04856668904849444,Sacramento
43,2021,8,23.678829024978427,0.04557103263991679,Sacramento
44,2021,9,22.38022006476604,0.04018648218993616,Sacramento
45,2021,10,16.970811561938888,0.03394756440106515,Sacramento
46,2021,11,12.666499393724507,0.04103355046887894,Sacramento
47,2021,12,8.591871034905864,0.050076717454900645,Sacramento
48,2022,1,9.104845730974375,0.0,Sacramento
49,2022,2,10.613820430627923,0.0,Sacramento
50,2022,3,14.75848318330651,0.0,Sacramento
51,2022,4,16.779858099227226,0.03303249069006293,Sacramento
52,2022,5,20.942815186746657,0.0417241127576967,Sacramento
53,2022,6,25.10236425064432,0.0853279887552064,Sacramento
54,2022,7,24.12627816202422,0.04561901521865832,Sacramento
55,2022,8,25.30384171182442,0.054061419263637035,Sacramento
56,2022,9,24.55208179653852,0.04728108736903535,Sacramento
57,2022,10,18.89592275776129,0.03449484236656575,Sacramento
58,2022,11,10.470679941224487,0.04263738292194951,Sacramento
59,2022,12,8.283182761466719,0.04947754672621767,Sacramento
60,2023,1,10.179056613617092,0.0,Sacramento
61,2023,2,9.03793725595284,0.0,Sacramento
62,2023,3,10.924887849632796,0.0,Sacramento
63,2023,4,15.802344101192716,0.03350637404718011,Sacramento
64,2023,5,18.035578729906376,0.033424081064701315,Sacramento
65,2023,6,20.57475786503141,0.03829111007080659,Sacramento
66,2023,7,24.63137418771577,0.049912284741672676,Sacramento
67,2023,8,25.32621575986548,0.058434876824204424,Sacramento
68,2023,9,21.727951190262445,0.04402317761081132,Sacramento
69,2023,10,19.010711268646844,0.034917235305271334,Sacramento
70,2023,11,13.120667438669216,0.03864906244798154,Sacramento
71,2023,12,10.78885769748507,0.04315502833053303,Sacramento
72,2024,1,,,Sacramento
73,2024,2,,,Sacramento
74,2024,3,,,Sacramento
75,2024,4,,,Sacramento
76,2024,5,,,Sacramento
77,2024,6,,,Sacramento
78,2024,7,,,Sacramento
79,2024,8,,,Sacramento
80,2024,9,,,Sacramento
81,2024,10,,,Sacramento
82,2024,11,,,Sacramento
83,2024,12,,,Sacramento
