,year,month,temperature,quantile_score,county
0,2018,1,6.967912830305011,0.0,Tulare
1,2018,2,5.271389411554992,0.0,Tulare
2,2018,3,6.699524127450445,0.0,Tulare
3,2018,4,11.783163514877458,0.041153307483577484,Tulare
4,2018,5,15.230002301118477,0.04245618880967482,Tulare
5,2018,6,21.21907805611073,0.05507761805794753,Tulare
6,2018,7,25.72556935975132,0.07521029778701194,Tulare
7,2018,8,24.036926207645536,0.07043393972398655,Tulare
8,2018,9,21.011505571432167,0.054762756065539965,Tulare
9,2018,10,14.334487919722278,0.11685550642154698,Tulare
10,2018,11,9.6550868240289,0.05124189503622378,Tulare
11,2018,12,4.689511078813894,0.052465943168635405,Tulare
12,2019,1,4.880739243301605,0.0,Tulare
13,2019,2,2.176074567524722,0.0,Tulare
14,2019,3,6.816321946909568,0.0,Tulare
15,2019,4,12.071990767969057,0.041293681958661975,Tulare
16,2019,5,12.031357352727014,0.04008226949981105,Tulare
17,2019,6,20.572850788168523,0.050113265517461536,Tulare
18,2019,7,23.4539433165578,0.06203815972861246,Tulare
19,2019,8,23.623866386047496,0.06333950909254805,Tulare
20,2019,9,19.38483748813809,0.048650448527392025,Tulare
21,2019,10,13.358916842020449,0.09717591105615475,Tulare
22,2019,11,9.101761566974917,0.05195058484299093,Tulare
23,2019,12,4.529260512398025,0.05337984743385846,Tulare
24,2020,1,4.068016476458297,0.0,Tulare
25,2020,2,6.510415821560571,0.0,Tulare
26,2020,3,6.308982502318031,0.0,Tulare
27,2020,4,10.796111516176666,0.04038671399992847,Tulare
28,2020,5,16.311726300935447,0.04142028659529502,Tulare
29,2020,6,20.23502237467494,0.0506282298007328,Tulare
30,2020,7,24.24502975479595,0.0669906420983579,Tulare
31,2020,8,25.026722709460103,0.07424989726779511,Tulare
32,2020,9,21.88870464304523,0.059662620017029495,Tulare
33,2020,10,17.329276197295485,0.05084489337584759,Tulare
34,2020,11,8.01923258280857,0.04522047187302674,Tulare
35,2020,12,4.9370526872558,0.052605720782610124,Tulare
36,2021,1,4.609299594534377,0.0,Tulare
37,2021,2,5.835125942535569,0.0,Tulare
38,2021,3,5.993906312035165,0.0,Tulare
39,2021,4,11.83269375014379,0.040553601525066395,Tulare
40,2021,5,16.429501978117287,0.05335414407047707,Tulare
41,2021,6,23.24581092250753,0.08025946318628177,Tulare
42,2021,7,26.25927676049946,0.1299542225985954,Tulare
43,2021,8,24.725901479998697,0.07046034975155956,Tulare
44,2021,9,21.53438548773687,0.05908841339766138,Tulare
45,2021,10,12.81915141514594,0.16576968222205718,Tulare
46,2021,11,10.366331421723146,0.0404745008383326,Tulare
47,2021,12,4.352208973444874,0.055795373156158394,Tulare
48,2022,1,4.486374848774233,0.0,Tulare
49,2022,2,5.026430567973648,0.0,Tulare
50,2022,3,8.48853181723041,0.0,Tulare
51,2022,4,11.346770897837018,0.040706333172281964,Tulare
52,2022,5,15.725101319525097,0.04116943508158732,Tulare
53,2022,6,21.14158538870612,0.06551540314301875,Tulare
54,2022,7,24.90441237828668,0.06962228443653,Tulare
55,2022,8,25.09614169053713,0.0781339784720254,Tulare
56,2022,9,22.40520256248084,0.056132492047823446,Tulare
57,2022,10,16.29709263371859,0.05950779134305019,Tulare
58,2022,11,5.048057843462743,0.05029936902600865,Tulare
59,2022,12,3.547756511059845,0.059075214629644754,Tulare
60,2023,1,3.4530097962548325,0.0,Tulare
61,2023,2,2.7755693972488302,0.0,Tulare
62,2023,3,4.580410048613317,0.0,Tulare
63,2023,4,10.207951942828515,0.04763336552897082,Tulare
64,2023,5,14.89957856506129,0.04266170048772903,Tulare
65,2023,6,17.496832785941137,0.04505994382230507,Tulare
66,2023,7,25.33948013798465,0.0712349064822445,Tulare
67,2023,8,22.827692019634696,0.059604997596049286,Tulare
68,2023,9,19.13218848922565,0.050373764798729244,Tulare
69,2023,10,14.782178063498748,0.042024406166471344,Tulare
70,2023,11,8.880944167431323,0.04122388928837434,Tulare
71,2023,12,6.635415243561283,0.047536875446837594,Tulare
72,2024,1,,,Tulare
73,2024,2,,,Tulare
74,2024,3,,,Tulare
75,2024,4,,,Tulare
76,2024,5,,,Tulare
77,2024,6,,,Tulare
78,2024,7,,,Tulare
79,2024,8,,,Tulare
80,2024,9,,,Tulare
81,2024,10,,,Tulare
82,2024,11,,,Tulare
83,2024,12,,,Tulare
